movieId,title,year,meanRating,myNNrating,myCofiRating,numRatings,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,filmnoir,horror,imax,musical,mystery,romance,scifi,thriller,war,western
1,"Toy Story (1995)",1995,3.92093023255814,3.92093023255814,3.94097864058654,215,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,"Jumanji (1995)",1995,3.43181818181818,3.43181818181818,3.51328797330734,110,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,"Grumpier Old Men (1995)",1995,3.25961538461538,3.25961538461538,3.35882306471134,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,"Waiting to Exhale (1995)",1995,2.35714285714286,3.50153740862337,3.50153246444087,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5,"Father of the Bride Part II (1995)",1995,3.07142857142857,3.07142857142857,2.92055944920423,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Heat (1995)",1995,3.94607843137255,3.94607843137255,3.91218525567501,102,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,"Sabrina (1995)",1995,3.18518518518519,3.18518518518519,3.19073397327428,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,"Tom and Huck (1995)",1995,2.875,3.50153740862337,3.50153246444087,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Sudden Death (1995)",1995,3.125,3.125,2.87616315889738,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"GoldenEye (1995)",1995,3.49621212121212,3.49621212121212,3.48579554631514,132,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"American President, The (1995)",1995,3.67142857142857,3.67142857142857,3.62842511632257,70,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,"Dracula: Dead and Loving It (1995)",1995,2.42105263157895,2.42105263157895,2.65584288225702,19,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
